2022-10-02T14:26+0200,00:11,00:11
2022-10-02T14:26+0200,00:16,00:05
2022-10-02T14:26+0200,00:23,00:06
2022-10-02T14:26+0200,00:28,00:05
2022-10-02T14:26+0200,00:34,00:05
2022-10-02T14:26+0200,00:39,00:05
2022-10-02T14:26+0200,00:45,00:05
2022-10-02T14:26+0200,00:51,00:05
2022-10-02T14:27+0200,00:56,00:05
2022-10-02T14:27+0200,01:02,00:05
2022-10-02T14:27+0200,01:08,00:05
2022-10-02T14:27+0200,01:13,00:05
2022-10-02T14:27+0200,01:19,00:05
2022-10-02T14:27+0200,01:24,00:05
2022-10-02T14:27+0200,01:30,00:05
2022-10-02T14:27+0200,01:36,00:05
2022-10-02T14:27+0200,01:41,00:05
2022-10-02T14:27+0200,01:47,00:05
2022-10-02T14:27+0200,01:53,00:06
2022-10-02T14:28+0200,01:59,00:05
2022-10-02T14:28+0200,02:04,00:05
2022-10-02T14:28+0200,02:10,00:05
2022-10-02T14:28+0200,02:15,00:05
2022-10-02T14:28+0200,02:20,00:05
2022-10-02T14:28+0200,02:26,00:05
2022-10-02T14:28+0200,02:31,00:05
2022-10-02T14:28+0200,02:37,00:05
2022-10-02T14:28+0200,02:42,00:05
2022-10-02T14:28+0200,02:47,00:05
2022-10-02T14:28+0200,02:53,00:05
2022-10-02T14:29+0200,02:58,00:05
2022-10-02T14:29+0200,03:04,00:05
2022-10-02T14:29+0200,03:09,00:05
2022-10-02T14:29+0200,03:14,00:05
2022-10-02T14:29+0200,03:20,00:05
2022-10-02T14:29+0200,03:25,00:05
2022-10-02T14:29+0200,03:31,00:05
2022-10-02T14:29+0200,03:36,00:05
2022-10-02T14:29+0200,03:41,00:05
2022-10-02T14:29+0200,03:47,00:05
2022-10-02T14:29+0200,03:52,00:05
2022-10-02T14:30+0200,03:58,00:05
2022-10-02T14:30+0200,04:03,00:05
2022-10-02T14:30+0200,04:08,00:05
2022-10-02T14:30+0200,04:14,00:05
2022-10-02T14:30+0200,04:19,00:05
2022-10-02T14:30+0200,04:24,00:05
2022-10-02T14:30+0200,04:30,00:05
2022-10-02T14:30+0200,04:35,00:05
2022-10-02T14:30+0200,04:41,00:05
2022-10-02T14:30+0200,04:46,00:05
2022-10-02T14:30+0200,04:51,00:05
2022-10-02T14:31+0200,04:57,00:05
2022-10-02T14:31+0200,05:02,00:05
2022-10-02T14:31+0200,05:07,00:05
2022-10-02T14:31+0200,05:13,00:06
2022-10-02T14:31+0200,05:19,00:06
2022-10-02T14:31+0200,05:25,00:05
2022-10-02T14:31+0200,05:31,00:05
2022-10-02T14:31+0200,05:37,00:06
2022-10-02T14:31+0200,05:43,00:05
2022-10-02T14:31+0200,05:49,00:06
2022-10-02T14:32+0200,05:55,00:05
2022-10-02T14:32+0200,06:01,00:05
2022-10-02T14:32+0200,06:07,00:05
2022-10-02T14:32+0200,06:12,00:05
2022-10-02T14:32+0200,06:17,00:04
