2022-10-03T00:38+0200,00:06,00:06
2022-10-03T00:38+0200,00:11,00:05
2022-10-03T00:38+0200,00:17,00:05
2022-10-03T00:38+0200,00:23,00:05
2022-10-03T00:38+0200,00:28,00:05
2022-10-03T00:38+0200,00:34,00:05
2022-10-03T00:38+0200,00:40,00:05
2022-10-03T00:38+0200,00:46,00:05
2022-10-03T00:38+0200,00:51,00:05
2022-10-03T00:38+0200,00:57,00:05
2022-10-03T00:39+0200,01:03,00:05
2022-10-03T00:39+0200,01:09,00:06
2022-10-03T00:39+0200,01:15,00:05
2022-10-03T00:39+0200,01:22,00:06
2022-10-03T00:39+0200,01:28,00:06
2022-10-03T00:39+0200,01:34,00:05
2022-10-03T00:39+0200,01:40,00:05
2022-10-03T00:39+0200,01:46,00:05
2022-10-03T00:39+0200,01:52,00:05
2022-10-03T00:39+0200,01:57,00:05
2022-10-03T00:40+0200,02:03,00:05
2022-10-03T00:40+0200,02:09,00:05
2022-10-03T00:40+0200,02:14,00:05
2022-10-03T00:40+0200,02:20,00:06
2022-10-03T00:40+0200,02:26,00:06
2022-10-03T00:40+0200,02:33,00:06
2022-10-03T00:40+0200,02:39,00:05
2022-10-03T00:40+0200,02:44,00:05
2022-10-03T00:40+0200,02:50,00:05
2022-10-03T00:40+0200,02:56,00:05
2022-10-03T00:41+0200,03:02,00:05
2022-10-03T00:41+0200,03:07,00:05
2022-10-03T00:41+0200,03:13,00:05
2022-10-03T00:41+0200,03:19,00:05
2022-10-03T00:41+0200,03:25,00:06
2022-10-03T00:41+0200,03:31,00:05
2022-10-03T00:41+0200,03:37,00:05
2022-10-03T00:41+0200,03:43,00:05
2022-10-03T00:41+0200,03:48,00:05
2022-10-03T00:41+0200,03:54,00:05
2022-10-03T00:41+0200,04:00,00:05
2022-10-03T00:42+0200,04:05,00:05
2022-10-03T00:42+0200,04:11,00:05
2022-10-03T00:42+0200,04:17,00:05
2022-10-03T00:42+0200,04:23,00:05
2022-10-03T00:42+0200,04:28,00:05
2022-10-03T00:42+0200,04:35,00:06
2022-10-03T00:42+0200,04:41,00:05
2022-10-03T00:42+0200,04:47,00:05
2022-10-03T00:42+0200,04:53,00:06
2022-10-03T00:42+0200,04:59,00:05
